Locus_ID,Description,GO
Os01g0152000,"Protein kinase, core domain containing protein.","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
Os01g0152500,Hypothetical conserved gene.,"Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: zinc ion binding (GO:0008270)"
Os01g0152600,"Protein kinase, catalytic domain domain containing protein.","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
Os01g0153700,Conserved hypothetical protein.,
Os01g0154600,Protein of unknown function DUF674 domain containing protein.,
Os01g0155400,Conserved hypothetical protein.,
Os01g0155500,"Protein kinase, catalytic domain domain containing protein.","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
Os01g0157900,Protein of unknown function Cys-rich family protein.,
Os01g0158000 ,Importin alpha-2 subunit. ,"Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515)"
Os01g0158200,Similar to Serine carboxypeptidase II-1 precursor (EC 3.4.16.6) (CP-MII.1) (Fragment).,"Biological Process: proteolysis (GO:0006508), Molecular Function: serine-type carboxypeptidase activity (GO:0004185)"
Os01g0158400 ,Galactose-binding like domain containing protein. ,
Os01g0158500,Similar to arginyl-tRNA synthetase.,"Biological Process: tRNA aminoacylation for protein translation (GO:0006418), Biological Process: arginyl-tRNA aminoacylation (GO:0006420), Cellular Component: cytoplasm (GO:0005737), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: aminoacyl-tRNA ligase activity (GO:0004812), Molecular Function: arginine-tRNA ligase activity (GO:0004814), Molecular Function: ATP binding (GO:0005524)"
Os01g0158900 ,"Zinc finger, NF-X1-type domain containing protein., Hypothetical conserved gene. ","Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: nucleus (GO:0005634), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700), Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270), Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: nucleus (GO:0005634), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700), Molecular Function: zinc ion binding (GO:0008270)"
Os01g0159000,"Similar to cDNA clone:J023049H21, full insert sequence.",
Os01g0159200,Similar to Fasciclin-like protein FLA18.,
Os01g0159300,"Zinc finger, RING/FYVE/PHD-type domain containing protein.","Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)"
Os01g0159400,"Similar to Acyl-coenzyme A oxidase 4, peroxisomal (EC 1.3.3.6) (AOX 4) (Short- chain acyl-CoA oxidase) (SAOX) (AtCX4) (G6p) (AtG6).","Biological Process: metabolic process (GO:0008152), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: acyl-CoA dehydrogenase activity (GO:0003995), Molecular Function: oxidoreductase activity, acting on the CH-CH group of donors (GO:0016627), Molecular Function: flavin adenine dinucleotide binding (GO:0050660)"
Os01g0159800 ,"Similar to DNA binding protein., Basic helix-loop-helix (bHLH) transcription factor, Mediation of seed germination, Seedling recovery from salt stress ",", Molecular Function: protein dimerization activity (GO:0046983)"
Os01g0160100,Similar to Pyruvate decarboxylase isozyme 2 (EC 4.1.1.1) (PDC) (Fragment).,"Molecular Function: magnesium ion binding (GO:0000287), Molecular Function: catalytic activity (GO:0003824), Molecular Function: carboxy-lyase activity (GO:0016831), Molecular Function: thiamine pyrophosphate binding (GO:0030976)"
Os01g0160800,Similar to Protein synthesis inhibitor II (EC 3.2.2.22) (Ribosome-inactivating protein II) (rRNA N-glycosidase).,"Biological Process: negative regulation of translation (GO:0017148), Molecular Function: rRNA N-glycosylase activity (GO:0030598)"
Os01g0161300,Hypothetical conserved gene.,Molecular Function: protein binding (GO:0005515)
Os01g0162200,Leucine-rich repeat domain containing protein.,Molecular Function: protein binding (GO:0005515)
Os01g0162300,"Leucine-rich repeat, plant specific containing protein.",Molecular Function: protein binding (GO:0005515)
Os01g0162400,Conserved hypothetical protein.,
Os01g0162500,"Leucine-rich repeat-containing N-terminal, type 2 domain containing protein.",
Os01g0162800,Hypothetical conserved gene.,Molecular Function: protein binding (GO:0005515)
Os01g0164400,Similar to TAF15b (TBP-ASSOCIATED FACTOR 15b); binding / nucleic acid binding / nucleotide binding / zinc ion binding.,"Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676)"
Os01g0164600,Protein phosphatase 2C-related domain containing protein.,Molecular Function: catalytic activity (GO:0003824)
Os01g0164800,Breast cancer type 2 susceptibility protein domain containing protein.,
Os01g0164900,BRCA2 repeat containing protein.,"Biological Process: double-strand break repair (GO:0006302), Molecular Function: protein binding (GO:0005515)"
Os01g0165000 ,"Transcription factor, Dehydration and salt stress tolerance, DRE binding protein 2. ","Biological Process: regulation of transcription, DNA-templated (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: transcription factor activity, sequence-specific DNA binding (GO:0003700), Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700)"
Os01g0165200 ,"Kelch-type beta propeller domain containing protein., Similar to KEAP1. ",Molecular Function: protein binding (GO:0005515)
Os01g0165800,DNA-binding HORMA domain containing protein.,Biological Process: mitosis (GO:0007067)
Os01g0166100,Similar to Ca(2+)-dependent nuclease.,"Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: nuclease activity (GO:0004518), Molecular Function: hydrolase activity, acting on ester bonds (GO:0016788)"
Os01g0166500,Conserved hypothetical protein.,
Os01g0166700,Saposin family protein.,"Biological Process: lipid metabolic process (GO:0006629), Biological Process: sphingolipid metabolic process (GO:0006665), Cellular Component: lysosome (GO:0005764)"
Os01g0166800,Similar to ETG1 (E2F TARGET GENE 1).,
Os01g0167100 ,"Hypothetical protein., Hypothetical conserved gene. ",
Os01g0167400,Similar to Protein synthesis inhibitor II (EC 3.2.2.22) (Ribosome-inactivating protein II) (rRNA N-glycosidase).,"Biological Process: negative regulation of translation (GO:0017148), Molecular Function: rRNA N-glycosylase activity (GO:0030598)"
Os01g0167500,Protein of unknown function DUF250 domain containing protein.,
Os01g0167700,Conserved hypothetical protein.,
Os01g0167800,Conserved hypothetical protein.,
Os01g0167900,KIP1-like domain containing protein.,
Os01g0168200,Similar to Thioredoxin-like protein.,"Biological Process: glycerol ether metabolic process (GO:0006662), Biological Process: cell redox homeostasis (GO:0045454), Molecular Function: electron carrier activity (GO:0009055), Molecular Function: protein disulfide oxidoreductase activity (GO:0015035)"
Os01g0168400,"Zinc finger, RING/FYVE/PHD-type domain containing protein.","Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)"
Os01g0168800,Alpha/beta hydrolase fold-1 domain containing protein.,
Os01g0169800,"Tryptophan aminotransferase, Indole-3-acetic acid (IAA) biosynthesis","Molecular Function: catalytic activity (GO:0003824), Molecular Function: carbon-sulfur lyase activity (GO:0016846), Molecular Function: pyridoxal phosphate binding (GO:0030170)"
Os01g0170600 ,"Hypothetical conserved gene., UspA domain containing protein. ",", Biological Process: response to stress (GO:0006950)"
Os01g0170700,Thiol-activated cytolysin family protein.,
Os01g0170800,Pentatricopeptide repeat domain containing protein.,Molecular Function: binding (GO:0005488)
Os01g0171000 ,"BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1 precursor (EC 2.7.1.37) (BRI1-associated receptor kinase 1) (Somatic embryogenesis receptor-like kinase 3)., Similar to Leucine-rich repeat receptor-like kinase. ","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772), Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
Os01g0171800,Conserved hypothetical protein.,
Os01g0172100,"Similar to Triose phosphate/phosphate translocator, non-green plastid, chloroplast precursor (CTPT).","Biological Process: transport (GO:0006810), Cellular Component: membrane (GO:0016020), Cellular Component: integral to membrane (GO:0016021), Molecular Function: transporter activity (GO:0005215)"
Os01g0172300,Conserved hypothetical protein.,
Os01g0172400 ,"Similar to Phospholipase D alpha 1., Phospholipase D alpha 1 (EC:3.1.4.4), Drought tolerance, Regulation of cold acclimation signaling, Phospholipase D alpha 1 precursor (EC 3.1.4.4) (PLD alpha 1) (Choline phosphatase 1) (Phosphatidylcholine-hydrolyzing phospholipase D 1). ","Biological Process: metabolic process (GO:0008152), Biological Process: phosphatidylcholine metabolic process (GO:0046470), Cellular Component: membrane (GO:0016020), Molecular Function: catalytic activity (GO:0003824), Molecular Function: phospholipase D activity (GO:0004630), Molecular Function: calcium ion binding (GO:0005509), Molecular Function: protein binding (GO:0005515), Biological Process: phosphatidylcholine metabolic process (GO:0046470), Molecular Function: catalytic activity (GO:0003824), Molecular Function: phospholipase D activity (GO:0004630), Molecular Function: calcium ion binding (GO:0005509), Cellular Component: membrane (GO:0016020), Biological Process: metabolic process (GO:0008152), Molecular Function: catalytic activity (GO:0003824)"
Os01g0172600,Similar to electron carrier/ heme binding / peroxidase.,"Biological Process: response to oxidative stress (GO:0006979), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: peroxidase activity (GO:0004601), Molecular Function: heme binding (GO:0020037)"
Os01g0172800,Embryo-specific 3 family protein.,
Os01g0173000,Putative thiol-disulphide oxidoreductase DCC domain containing protein.,
Os01g0173900,Similar to MRP-like ABC transporter.,"Biological Process: transport (GO:0006810), Biological Process: transmembrane transport (GO:0055085), Cellular Component: integral to membrane (GO:0016021), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: ATP binding (GO:0005524), Molecular Function: ATPase activity (GO:0016887), Molecular Function: nucleoside-triphosphatase activity (GO:0017111), Molecular Function: ATPase activity, coupled to transmembrane movement of substances (GO:0042626)"
Os01g0174000,Similar to BZIP transcription factor (Fragment).,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700), Molecular Function: sequence-specific DNA binding (GO:0043565), Molecular Function: protein dimerization activity (GO:0046983)"
Os01g0174100,Conserved hypothetical protein.,
Os01g0174300 ,Flavoprotein pyridine nucleotide cytochrome reductase domain containing protein. ,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: oxidoreductase activity (GO:0016491)"
Os01g0174900,Thioredoxin fold domain containing protein.,"Biological Process: cell redox homeostasis (GO:0045454), Molecular Function: electron carrier activity (GO:0009055), Molecular Function: protein disulfide oxidoreductase activity (GO:0015035)"
