Locus_ID,Description,GO,,
Os01g0165000 ,"Transcription factor, Dehydration and salt stress tolerance, DRE binding protein 2. ","Biological Process: regulation of transcription, DNA-templated (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: transcription factor activity, sequence-specific DNA binding (GO:0003700), Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700)",,
Os01g0165800,DNA-binding HORMA domain containing protein.,Biological Process: mitosis (GO:0007067),,
Os01g0166100,Similar to Ca(2+)-dependent nuclease.,"Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: nuclease activity (GO:0004518), Molecular Function: hydrolase activity, acting on ester bonds (GO:0016788)",,
Os01g0166400 ,"Similar to phosphatidylinositolglycan-related., Hypothetical conserved gene. ",Molecular Function: phosphatidylinositol N-acetylglucosaminyltransferase activity (GO:0017176),,
Os01g0166500,Conserved hypothetical protein.,,,
Os01g0166700,Saposin family protein.,"Biological Process: lipid metabolic process (GO:0006629), Biological Process: sphingolipid metabolic process (GO:0006665), Cellular Component: lysosome (GO:0005764)",,
Os01g0166800,Similar to ETG1 (E2F TARGET GENE 1).,,,
Os01g0167400,Similar to Protein synthesis inhibitor II (EC 3.2.2.22) (Ribosome-inactivating protein II) (rRNA N-glycosidase).,"Biological Process: negative regulation of translation (GO:0017148), Molecular Function: rRNA N-glycosylase activity (GO:0030598)",,
Os01g0167500,Protein of unknown function DUF250 domain containing protein.,,,
Os01g0167700,Conserved hypothetical protein.,,,
Os01g0167900,KIP1-like domain containing protein.,,,
Os01g0168400,"Zinc finger, RING/FYVE/PHD-type domain containing protein.","Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)",,
Os01g0168600,Similar to predicted protein.,,,
Os01g0168800,Alpha/beta hydrolase fold-1 domain containing protein.,,,
Os01g0169400,Similar to LOB domain protein 25.,,,
Os01g0169800,"Tryptophan aminotransferase, Indole-3-acetic acid (IAA) biosynthesis","Molecular Function: catalytic activity (GO:0003824), Molecular Function: carbon-sulfur lyase activity (GO:0016846), Molecular Function: pyridoxal phosphate binding (GO:0030170)",,
Os01g0170300,Serine/threonine protein kinase-related domain containing protein.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,
Os01g0170500,"Protein of unknown function DUF239, plant domain containing protein.",,,
Os01g0171000 ,"BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1 precursor (EC 2.7.1.37) (BRI1-associated receptor kinase 1) (Somatic embryogenesis receptor-like kinase 3)., Similar to Leucine-rich repeat receptor-like kinase. ","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772), Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,
Os01g0171800,Conserved hypothetical protein.,,,
Os01g0172100,"Similar to Triose phosphate/phosphate translocator, non-green plastid, chloroplast precursor (CTPT).","Biological Process: transport (GO:0006810), Cellular Component: membrane (GO:0016020), Cellular Component: integral to membrane (GO:0016021), Molecular Function: transporter activity (GO:0005215)",,
Os01g0172300,Conserved hypothetical protein.,,,
Os01g0172400 ,"Similar to Phospholipase D alpha 1., Phospholipase D alpha 1 (EC:3.1.4.4), Drought tolerance, Regulation of cold acclimation signaling, Phospholipase D alpha 1 precursor (EC 3.1.4.4) (PLD alpha 1) (Choline phosphatase 1) (Phosphatidylcholine-hydrolyzing phospholipase D 1). ","Biological Process: metabolic process (GO:0008152), Biological Process: phosphatidylcholine metabolic process (GO:0046470), Cellular Component: membrane (GO:0016020), Molecular Function: catalytic activity (GO:0003824), Molecular Function: phospholipase D activity (GO:0004630), Molecular Function: calcium ion binding (GO:0005509), Molecular Function: protein binding (GO:0005515), Biological Process: phosphatidylcholine metabolic process (GO:0046470), Molecular Function: catalytic activity (GO:0003824), Molecular Function: phospholipase D activity (GO:0004630), Molecular Function: calcium ion binding (GO:0005509), Cellular Component: membrane (GO:0016020), Biological Process: metabolic process (GO:0008152), Molecular Function: catalytic activity (GO:0003824)",,
Os01g0172600,Similar to electron carrier/ heme binding / peroxidase.,"Biological Process: response to oxidative stress (GO:0006979), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: peroxidase activity (GO:0004601), Molecular Function: heme binding (GO:0020037)",,
Os01g0172701,"Regulator of chromosome condensation, RCC1 domain containing protein.",,,
Os01g0172800,Embryo-specific 3 family protein.,,,
Os01g0173000,Putative thiol-disulphide oxidoreductase DCC domain containing protein.,,,
Os01g0173600,Glyoxalase/bleomycin resistance protein/dioxygenase domain containing protein.,,,
Os01g0173900,Similar to MRP-like ABC transporter.,"Biological Process: transport (GO:0006810), Biological Process: transmembrane transport (GO:0055085), Cellular Component: integral to membrane (GO:0016021), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: ATP binding (GO:0005524), Molecular Function: ATPase activity (GO:0016887), Molecular Function: nucleoside-triphosphatase activity (GO:0017111), Molecular Function: ATPase activity, coupled to transmembrane movement of substances (GO:0042626)",,
Os01g0174000,Similar to BZIP transcription factor (Fragment).,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700), Molecular Function: sequence-specific DNA binding (GO:0043565), Molecular Function: protein dimerization activity (GO:0046983)",,
Os01g0174100,Conserved hypothetical protein.,,,
Os01g0174300 ,Flavoprotein pyridine nucleotide cytochrome reductase domain containing protein. ,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: oxidoreductase activity (GO:0016491)",,
Os01g0174900,Thioredoxin fold domain containing protein.,"Biological Process: cell redox homeostasis (GO:0045454), Molecular Function: electron carrier activity (GO:0009055), Molecular Function: protein disulfide oxidoreductase activity (GO:0015035)",,
Os01g0175000 ,Similar to Biostress-resistance-related protein (Fragment). ,Molecular Function: hydrolase activity (GO:0016787),,
Os01g0175100,Kv1.4 voltage-gated K+ channel family protein.,,,
Os01g0175400,Ankyrin repeat containing protein.,Molecular Function: protein binding (GO:0005515),,
Os01g0175500,Protein of unknown function DUF1618 domain containing protein.,,,
Os01g0176000,UDP-glucuronosyl/UDP-glucosyltransferase family protein.,"Biological Process: metabolic process (GO:0008152), Molecular Function: transferase activity, transferring hexosyl groups (GO:0016758)",,
Os01g0176200 ,UDP-glucuronosyl/UDP-glucosyltransferase family protein. ,"Biological Process: metabolic process (GO:0008152), Molecular Function: transferase activity, transferring hexosyl groups (GO:0016758)",,
Os01g0176400,Similar to Photoreceptor-interacting protein-like.,,,
Os01g0176500 ,"Conserved hypothetical protein., Hypothetical conserved gene. ",,,
Os01g0176800,Protein of unknown function DUF2921 domain containing protein.,,,
Os01g0177100 ,Similar to STYLOSA protein. ,Molecular Function: protein binding (GO:0005515),,
Os01g0177900 ,"ATP-binding cassette transporter, Cuticle formation, Defense response, Similar to Pleiotropic drug resistance protein 6. ","Molecular Function: ATP binding (GO:0005524), Molecular Function: ATPase activity (GO:0016887), Cellular Component: membrane (GO:0016020), Cellular Component: membrane (GO:0016020)",,
Os01g0178000 ,"Pyridoxal phosphate-dependent transferase, major region, subdomain 1 domain containing protein., Similar to Transaminase/ transferase, transferring nitrogenous groups. ","Biological Process: biosynthetic process (GO:0009058), Molecular Function: catalytic activity (GO:0003824), Molecular Function: transferase activity, transferring nitrogenous groups (GO:0016769), Molecular Function: pyridoxal phosphate binding (GO:0030170)",,
Os01g0178100,Region of unknown function DUF1767 domain containing protein.,,,
Os01g0178300,"Plasma membrane-localized small peptide, Aluminum tolerance",,,
Os01g0178400,Similar to Protein phosphatase 2A B'kappa subunit.,"Biological Process: signal transduction (GO:0007165), Cellular Component: protein phosphatase type 2A complex (GO:0000159), Molecular Function: binding (GO:0005488), Molecular Function: protein phosphatase type 2A regulator activity (GO:0008601)",,
Os01g0178500,"A member of rice Aux/IAA family, Cross-talk of auxin and brassinosteroid signaling pathways, Plant morphogenesis",Molecular Function: protein binding (GO:0005515),,
Os01g0178700,Similar to Protein binding protein.,"Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)",,
Os01g0178900,Similar to Symbiosis-related disease resistance protein (Fragment).,,,
Os01g0179000,Transferase family protein.,"Molecular Function: transferase activity, transferring acyl groups other than amino-acyl groups (GO:0016747)",,
Os01g0179300 ,"Similar to BRI1-KD interacting protein 128 (Fragment)., Non-protein coding transcript. ",,,
Os01g0179400,"Amyloplast-localized protein containing DUF490, Regulation of starch grain sizes",,,
Os01g0179500,"Enhancer of polycomb-like, N-terminal domain containing protein.",,,
Os01g0179600,UDP-glucuronosyl/UDP-glucosyltransferase family protein.,"Biological Process: metabolic process (GO:0008152), Molecular Function: transferase activity, transferring hexosyl groups (GO:0016758)",,
Os01g0179800,TMS membrane protein/tumour differentially expressed protein family protein.,Cellular Component: membrane (GO:0016020),,
Os01g0180000,Pistil-specific extensin-like protein family protein.,Molecular Function: protein binding (GO:0005515),,
Os01g0180300 ,"Lipoprotein, type 6 family protein., Hypothetical conserved gene. ",,,
Os01g0180400,Protein of unknown function DUF581 domain containing protein.,,,
Os01g0180600,Similar to MutS homolog 7 (Fragment).,"Biological Process: mismatch repair (GO:0006298), Molecular Function: ATP binding (GO:0005524), Molecular Function: mismatched DNA binding (GO:0030983)",,
Os01g0180700,Hypothetical conserved gene.,,,
Os01g0180800 ,"Heat shock protein Hsp70 family protein., Similar to heat shock 70 kDa protein 4. ",Molecular Function: ATP binding (GO:0005524),,
Os01g0182100,Protein of unknown function DUF1618 domain containing protein.,,,
Os01g0182200 ,"Similar to cDNA clone:001-208-D07, full insert sequence., Similar to Small basic membrane integral protein ZmSIP1-2. ","Biological Process: transport (GO:0006810), Cellular Component: membrane (GO:0016020), Molecular Function: transporter activity (GO:0005215)",,
Os01g0182400,Conserved hypothetical protein.,,,
Os01g0182500,Hypothetical conserved gene.,,,
Os01g0182832,Hypothetical conserved gene.,,,
Os01g0183000,Similar to GmCK3p (EC 2.7.1.32) (Fragment).,"Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772), Molecular Function: phosphotransferase activity, alcohol group as acceptor (GO:0016773)",,
Os01g0183100,"Cytochrome cd1-nitrite reductase-like, C-terminal haem d1 domain containing protein.",Molecular Function: protein binding (GO:0005515),,
Os01g0183300,Endonuclease/exonuclease/phosphatase domain containing protein.,Molecular Function: inositol or phosphatidylinositol phosphatase activity (GO:0004437),,
Os01g0183600,Cytochrome P450 family protein.,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: iron ion binding (GO:0005506), Molecular Function: electron carrier activity (GO:0009055), Molecular Function: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705), Molecular Function: heme binding (GO:0020037)",,
Os01g0183800,Cyclin-like F-box domain containing protein.,Molecular Function: protein binding (GO:0005515),,
Os01g0183850,Conserved hypothetical protein.,,,
Os01g0184200,Similar to OSIGBa0132G14.1 protein.,,,
Os01g0184500,"DEAD-like helicase, N-terminal domain containing protein.","Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: helicase activity (GO:0004386), Molecular Function: ATP binding (GO:0005524), Molecular Function: ATP-dependent helicase activity (GO:0008026)",,
